Pillar / Cluster,Term Offered,Terms,Terms(1),Terms(2),Subject Code,"""Subject Title (click on link for subject desciption and information)""",Instructor Names Anonymized
ASD,Spring 2025,4,,,20.101,Architecture Core Studio 1,Mary Clarke
ASD,Spring 2025,4,,,20.202,Architectural Structure & Enclosure Design,Aisha Tan
ASD,Spring 2025,4,,,20.212,Digital Design & Fabrication,Mark Lim
ASD,Spring 2025,4,,,20.221,Traditions: World History Connections to Vernacular Architecture,Lily Ng
ASD,Spring 2025,6,,,20.103,Architecture Core Studio 3,Kimberly Lim
ASD,Spring 2025,8,,,20.112,Sustainable Design Option Studio 2,Winston Lim
ASD,Spring 2025,8,,,20.224,Artificial & Architectural Intelligences in Design,Jacqueline Goh
ASD,Summer 2024,5,,,20.102,Architecture Core Studio 2,Isabella Ong
ASD,Summer 2024,5,,,20.201,Architecture Science & Technology,Lily Ng
ASD,Summer 2024,5,,,20.213,Building Information Modeling,Zoe Ong
ASD,Summer 2024,5,,,20.222,Modernism: Technology and Society in Architecture,Vincent Tan
ASD,Fall 2024,7,,,20.103,Architecture Core Studio 3,Kimberly Lim
ASD,Fall 2024,7,,,20.203,Architectural Energy Systems,Ian Chen
ASD,Fall 2024,7,,,20.213,Building Information Modeling,Zoe Ong
ASD,Spring 2024,6,,,20.312,Sustainable Urban Design,Aisha Tan
DAI,Spring 2025,4,,,60.002,AI Applications in Design,Alvin Chua
DAI,Spring 2025,4,,,60.003,Product Design Studio,Alvin Chua
DAI,Spring 2025,6,", 8",,01.115,"Science of Sound: Acoustics, Audio & Music",Edward Lai
DAI,Spring 2025,6,", 8",,01.116,AI for Healthcare,Sheila Nair
DAI,Spring 2025,6,", 8",,01.117,Brain-Inspired Computing and its Applications,David Lye
DAI,Spring 2025,6,", 8",,01.118,High Performance Computing in Science and Engineering,Kevin Tay
DAI,Summer 2024,5,,,60.005,HCI and AI,Rohan Kumar
DAI,Fall 2024,7,,,01.101,Technologies for Sustainable Global Health,Leslie Goh
DAI,Fall 2024,7,,,01.119,Nanoelectronics and Technology,Winston Lim
DAI,Spring 2025,8,,,60.006,Creative AI in Design,Antoine Dupont
EPD,Spring 2025,4,,,30.001,Structures & Materials,Shanti Nair
EPD,Spring 2025,4,,,30.002,Circuits & Electronics,Samantha Cheong
EPD,Spring 2025,4,,,30.100,Computational and Data-Driven Engineering,Ji-Hoon Park
EPD,Spring 2025,6,,,30.104,Dynamics,Kevin Tay
EPD,Spring 2025,6,,,30.105,Machine Element Design,Eddy Toh
EPD,Spring 2025,6,,,30.106,Microelectronics Circuits and Devices,Vincenzo Rossi
EPD,Spring 2025,6,,,30.107,Power Electronics,Ivan Tay
EPD,Spring 2025,6,,,30.108,Material Science,William Goh
EPD,Spring 2025,6,,,30.109,Thermal Systems For Power & Environment,George Tan
EPD,Spring 2025,6,,,30.110,Digital Systems Laboratory,Ivan Tay
EPD,Spring 2025,6,,,30.111,Entrepreneurship,Fiona Ang
EPD,Spring 2025,6,,,30.203,Topics in Biomedical and Healthcare Engineering,Vanessa Lim
EPD,Spring 2025,6,,,30.316,Digital Biomimetics: Sustainable Materials and Manufacturing,Dinesh Kumar
EPD,Spring 2025,8,,,01.106,Engineering Management,Melissa Ong
EPD,Spring 2025,8,,,30.113,Design and Fabrication of Microelectromechanical Systems (MEMS),William Goh
EPD,Spring 2025,8,,,30.115,Digital Signal Processing,Frederick Lim
EPD,Spring 2025,8,,,30.117,Electric Power Systems Analysis and Design,Ivan Tay
EPD,Spring 2025,8,,,30.118,Optical Engineering & Communications,Melissa Ong
EPD,Spring 2025,8,,,30.200,Micro-Nano Projects Laboratory,Anand Subramaniam
EPD,Spring 2025,8,,,30.201,Wireless Communications and Internet of Things,Michelle Tan
EPD,Spring 2025,8,,,30.505,Design Science,Shaun Tan
EPD,Summer 2024,5,,,30.007,Engineering Design Innovation,Lawrence Tan
