Pillar,Terms,Subject Code,Subject Title,Instructor,Description
HASS,5,02.104TS,A History of International Development in Asia: The Role of Engineers and Designers,Jeremy Cheong,
EPD,5,30.376,Advanced Energy Conversion Systems,James Lim,"This course delves into the science and engineering of advanced energy conversion systems, focusing on efficiency and innovation. Topics include thermodynamic cycles, combustion engines, fuel cells, and nuclear energy systems. Students will explore cutting-edge technologies to optimize energy conversion in industrial and commercial settings. Practical exercises will involve analyzing system performance, troubleshooting inefficiencies, and proposing designs for next-generation energy conversion solutions. While sustainability is touched on as part of the broader discussion, the course primarily emphasizes technical optimization and energy efficiency rather than environmental considerations."
EPD,7,30.114,Advanced Feedback and Control,Haruto Tanaka,
ESD,7,40.302,Advanced Topics in Optimisation,Steven Tay,
ESD,7,40.305,Advanced Topics in Stochastic Modelling,Peter Lim,
DAI,4,60.002,AI Applications in Design,Alvin Chua,
DAI,68,01.116,AI for Healthcare,Sheila Nair,
ESD,7,40.321,Airport Systems Modelling and Simulation,Timothy Ong,
ESD,6,40.320,Airport Systems Planning and Design,Aaron Tan,
ISTD,4,50.004,Algorithms,Boon Chye Lim,
ASD,7,20.203,Architectural Energy Systems,Ian Chen,
ASD,4,20.202,Architectural Structure & Enclosure Design,Aisha Tan,
ASD,4,20.101,Architecture Core Studio 1,Mary Clarke,
ASD,5,20.102,Architecture Core Studio 2,Isabella Ong,
ASD,67,20.103,Architecture Core Studio 3,Kimberly Lim,
ASD,5,20.201,Architecture Science & Technology,Lily Ng,
ASD,8,20.224,Artificial & Architectural Intelligences in Design,Jacqueline Goh,
ISTD,68,50.021,Artificial Intelligence,Jane Lim,
DAI,8,60.312,Artificial Intelligence for Creative Problem Solving,Emily Tan,"This course explores the use of artificial intelligence to address complex, creative challenges across various domains. Students will study generative models, natural language processing, and AI-driven design tools to develop innovative solutions. Through project-based learning, participants will create AI applications that tackle problems in areas such as art, design, and education."
ISTD,7,50.037,Blockchain Technology,Adeline Wong,
DAI,68,01.117,Brain-Inspired Computing and its Applications,David Lye,
ASD,57,20.213,Building Information Modeling,Zoe Ong,
HASS,7,02.302,Business Culture and Entrepeneurship in China,Cheng Wei Low,
EPD,4,30.002,Circuits & Electronics,Samantha Cheong,
ISTD,4,50.002,Computation Structures,Rebecca Tay,
EPD,4,30.100,Computational and Data-Driven Engineering,Ji-Hoon Park,
ISTD,68,50.038,Computational Data Science,Nicholas Lim,
ISTD,5,50.005,Computer System Engineering,Nicole Teo,
ISTD,7,50.035,Computer Vision,Jack Brown,
DAI,8,60.006,Creative AI in Design,Antoine Dupont,
HASS,4678,02.211,Critical Management Studies,Lucien Moreau,
HASS,6,02.244TS,Cultural Narrative in Global Media,Michael Potter,"This course examines the role of media in shaping cultural narratives and global identities. Students will analyze the impact of films, social media, and journalism on societal perceptions, exploring themes such as representation, bias, and globalization. Through discussions and media projects, students will develop critical insights into the power of media as a tool for cultural influence."
ESD,4,40.011,Data and Business Analytics,Benjamin Wong,
ISTD,8,50.057,Data Privacy and Security,Stephanie Lim,
ISTD,68,50.043,Database Systems,Jane Davis,
ESD,7,40.242,Derivative Pricing and Risk Management,Benjamin Wong,
EPD,7,30.120,Design & Manufacturing,Jessica Chia,
EPD,8,30.113,Design and Fabrication of Microelectromechanical Systems (MEMS),William Goh,
ESD,6,40.230,Design for Sustainability,Kristin Koh,
HASS,468,02.228TS,Design in the Anthropocene,Joshua Lau,
EPD,7,30.202,Design of Intelligent Digital Integrated Circuits and Systems,Ivan Tay,
EPD,8,30.505,Design Science,Shaun Tan,
EPD,6,30.316,Digital Biomimetics: Sustainable Materials and Manufacturing,Dinesh Kumar,
ASD,4,20.212,Digital Design & Fabrication,Mark Lim,
EPD,8,30.115,Digital Signal Processing,Frederick Lim,
